Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 01:30:01.221,114568.9,0.001,BTCUSDT
2025-09-30 01:30:01.262,114568.9,0.001,BTCUSDT
2025-09-30 01:30:01.262,114568.9,0.001,BTCUSDT
2025-09-30 01:30:01.262,114568.9,0.001,BTCUSDT
2025-09-30 01:30:01.262,114568.9,0.001,BTCUSDT
2025-09-30 01:30:01.262,114568.9,0.001,BTCUSDT
2025-09-30 01:30:01.262,114568.9,0.001,BTCUSDT
2025-09-30 01:30:01.262,114568.9,0.001,BTCUSDT
2025-09-30 01:30:01.262,114568.8,0.002,BTCUSDT
2025-09-30 01:30:01.262,114568.6,0.002,BTCUSDT
2025-09-30 01:30:01.262,114568.4,0.027,BTCUSDT
2025-09-30 01:30:01.279,114568.4,0.006,BTCUSDT
2025-09-30 01:30:01.279,114568.4,0.002,BTCUSDT
2025-09-30 01:30:01.279,114568.3,0.002,BTCUSDT
2025-09-30 01:30:01.279,114568.1,0.02,BTCUSDT
2025-09-30 01:30:01.279,114568.0,0.002,BTCUSDT
2025-09-30 01:30:01.279,114567.7,0.002,BTCUSDT
2025-09-30 01:30:01.279,114567.6,0.027,BTCUSDT
2025-09-30 01:30:01.279,114567.5,0.064,BTCUSDT
2025-09-30 01:30:01.316,114567.3,0.032,BTCUSDT
2025-09-30 01:30:01.316,114567.3,0.001,BTCUSDT
2025-09-30 01:30:01.316,114567.3,0.001,BTCUSDT
2025-09-30 01:30:01.316,114567.3,0.001,BTCUSDT
2025-09-30 01:30:01.316,114567.3,0.001,BTCUSDT
2025-09-30 01:30:01.316,114567.3,0.001,BTCUSDT
2025-09-30 01:30:01.318,114567.3,0.001,BTCUSDT
2025-09-30 01:30:01.318,114567.3,0.001,BTCUSDT
2025-09-30 01:30:01.318,114567.3,0.237,BTCUSDT
2025-09-30 01:30:01.318,114567.3,0.455,BTCUSDT
2025-09-30 01:30:01.318,114567.3,0.001,BTCUSDT
2025-09-30 01:30:01.318,114567.3,0.468,BTCUSDT
2025-09-30 01:30:01.318,114567.1,0.002,BTCUSDT
2025-09-30 01:30:01.318,114567.0,0.002,BTCUSDT
2025-09-30 01:30:01.318,114567.0,0.001,BTCUSDT
2025-09-30 01:30:01.318,114566.9,0.033,BTCUSDT
2025-09-30 01:30:01.318,114566.5,0.002,BTCUSDT
2025-09-30 01:30:01.318,114566.4,0.001,BTCUSDT
2025-09-30 01:30:01.318,114566.1,0.001,BTCUSDT
2025-09-30 01:30:01.318,114566.0,0.001,BTCUSDT
2025-09-30 01:30:01.318,114566.0,0.066,BTCUSDT
2025-09-30 01:30:01.318,114566.0,0.066,BTCUSDT
2025-09-30 01:30:01.318,114565.9,0.002,BTCUSDT
2025-09-30 01:30:01.318,114565.8,0.025,BTCUSDT
2025-09-30 01:30:01.318,114565.7,0.001,BTCUSDT
2025-09-30 01:30:01.318,114565.7,0.021,BTCUSDT
2025-09-30 01:30:01.318,114565.5,0.018,BTCUSDT
2025-09-30 01:30:01.326,114565.6,0.001,BTCUSDT
2025-09-30 01:30:01.327,114565.6,0.059,BTCUSDT
2025-09-30 01:30:01.347,114565.5,0.01,BTCUSDT
2025-09-30 01:30:01.347,114565.5,0.001,BTCUSDT
2025-09-30 01:30:01.347,114565.5,0.001,BTCUSDT
2025-09-30 01:30:01.347,114565.5,0.001,BTCUSDT
2025-09-30 01:30:01.347,114565.5,0.001,BTCUSDT
2025-09-30 01:30:01.347,114565.5,0.001,BTCUSDT
2025-09-30 01:30:01.347,114565.3,0.001,BTCUSDT
2025-09-30 01:30:01.347,114565.3,0.002,BTCUSDT
2025-09-30 01:30:01.347,114565.1,0.002,BTCUSDT
2025-09-30 01:30:01.347,114565.1,0.002,BTCUSDT
2025-09-30 01:30:01.347,114565.0,0.002,BTCUSDT
2025-09-30 01:30:01.347,114565.0,0.001,BTCUSDT
2025-09-30 01:30:01.347,114564.7,0.002,BTCUSDT
2025-09-30 01:30:01.347,114564.6,0.003,BTCUSDT
2025-09-30 01:30:01.347,114564.5,0.001,BTCUSDT
2025-09-30 01:30:01.351,114564.4,0.001,BTCUSDT
2025-09-30 01:30:01.351,114564.4,0.001,BTCUSDT
2025-09-30 01:30:01.351,114564.3,0.002,BTCUSDT
2025-09-30 01:30:01.351,114564.1,0.002,BTCUSDT
2025-09-30 01:30:01.351,114563.5,0.002,BTCUSDT
2025-09-30 01:30:01.351,114563.2,0.033,BTCUSDT
2025-09-30 01:30:01.351,114562.9,0.002,BTCUSDT
2025-09-30 01:30:01.351,114562.8,0.001,BTCUSDT
2025-09-30 01:30:01.351,114562.6,0.001,BTCUSDT
2025-09-30 01:30:01.351,114562.5,0.001,BTCUSDT
2025-09-30 01:30:01.351,114562.3,0.001,BTCUSDT
2025-09-30 01:30:01.351,114562.3,0.002,BTCUSDT
2025-09-30 01:30:01.351,114562.2,0.001,BTCUSDT
2025-09-30 01:30:01.351,114562.1,0.004,BTCUSDT
2025-09-30 01:30:01.351,114562.1,0.005,BTCUSDT
2025-09-30 01:30:01.377,114561.9,0.007,BTCUSDT
2025-09-30 01:30:01.377,114561.9,0.001,BTCUSDT
2025-09-30 01:30:01.377,114561.9,0.001,BTCUSDT
2025-09-30 01:30:01.540,114561.9,0.001,BTCUSDT
2025-09-30 01:30:01.540,114561.9,0.001,BTCUSDT
2025-09-30 01:30:01.540,114561.9,0.001,BTCUSDT
2025-09-30 01:30:02.256,114562.0,0.058,BTCUSDT
2025-09-30 01:30:02.531,114562.0,0.248,BTCUSDT
2025-09-30 01:30:02.531,114562.0,0.095,BTCUSDT
2025-09-30 01:30:03.018,114561.9,0.015,BTCUSDT
2025-09-30 01:30:03.018,114561.9,0.001,BTCUSDT
2025-09-30 01:30:03.018,114561.9,0.001,BTCUSDT
2025-09-30 01:30:03.018,114561.9,0.004,BTCUSDT
2025-09-30 01:30:03.018,114561.9,0.001,BTCUSDT
2025-09-30 01:30:03.018,114561.9,0.008,BTCUSDT
2025-09-30 01:30:03.318,114562.0,0.058,BTCUSDT
2025-09-30 01:30:03.679,114561.9,0.024,BTCUSDT
2025-09-30 01:30:03.993,114562.0,0.005,BTCUSDT
2025-09-30 01:30:04.064,114561.9,0.028,BTCUSDT
2025-09-30 01:30:04.321,114561.9,0.017,BTCUSDT
2025-09-30 01:30:04.338,114562.0,0.001,BTCUSDT
2025-09-30 01:30:04.379,114562.0,0.059,BTCUSDT
2025-09-30 01:30:04.466,114561.9,0.028,BTCUSDT
2025-09-30 01:30:04.484,114561.9,0.008,BTCUSDT
2025-09-30 01:30:04.491,114562.0,0.001,BTCUSDT
2025-09-30 01:30:04.582,114562.0,0.001,BTCUSDT
2025-09-30 01:30:04.661,114562.0,0.001,BTCUSDT
2025-09-30 01:30:04.686,114562.0,0.002,BTCUSDT
2025-09-30 01:30:04.747,114562.0,0.005,BTCUSDT
2025-09-30 01:30:04.780,114561.9,0.001,BTCUSDT
2025-09-30 01:30:04.933,114562.0,0.001,BTCUSDT
2025-09-30 01:30:04.935,114561.9,0.001,BTCUSDT
2025-09-30 01:30:04.954,114562.0,0.001,BTCUSDT
2025-09-30 01:30:04.989,114562.0,0.001,BTCUSDT
2025-09-30 01:30:05.000,114562.0,0.001,BTCUSDT
2025-09-30 01:30:05.119,114562.0,0.001,BTCUSDT
2025-09-30 01:30:05.250,114562.0,0.002,BTCUSDT
2025-09-30 01:30:05.312,114561.9,0.013,BTCUSDT
2025-09-30 01:30:05.337,114562.0,0.058,BTCUSDT
2025-09-30 01:30:05.383,114562.0,0.001,BTCUSDT
2025-09-30 01:30:05.602,114562.0,0.013,BTCUSDT
2025-09-30 01:30:05.924,114561.9,0.003,BTCUSDT
2025-09-30 01:30:05.924,114561.9,0.002,BTCUSDT
2025-09-30 01:30:05.924,114561.9,0.009,BTCUSDT
2025-09-30 01:30:05.924,114561.9,0.001,BTCUSDT
2025-09-30 01:30:05.924,114561.9,0.001,BTCUSDT
2025-09-30 01:30:05.924,114561.9,0.005,BTCUSDT
2025-09-30 01:30:06.048,114562.0,0.001,BTCUSDT
2025-09-30 01:30:06.119,114561.9,0.082,BTCUSDT
2025-09-30 01:30:06.119,114561.9,0.043,BTCUSDT
2025-09-30 01:30:06.123,114561.9,0.044,BTCUSDT
2025-09-30 01:30:06.123,114561.9,0.014,BTCUSDT
2025-09-30 01:30:06.123,114561.9,0.001,BTCUSDT
2025-09-30 01:30:06.123,114561.9,0.001,BTCUSDT
2025-09-30 01:30:06.123,114561.9,0.049,BTCUSDT
2025-09-30 01:30:06.123,114561.9,0.001,BTCUSDT
2025-09-30 01:30:06.123,114561.9,0.005,BTCUSDT
2025-09-30 01:30:06.123,114561.9,0.001,BTCUSDT
2025-09-30 01:30:06.123,114561.9,0.001,BTCUSDT
2025-09-30 01:30:06.123,114561.9,0.002,BTCUSDT
2025-09-30 01:30:06.123,114561.9,0.003,BTCUSDT
2025-09-30 01:30:06.123,114561.8,0.001,BTCUSDT
2025-09-30 01:30:06.123,114561.8,0.001,BTCUSDT
2025-09-30 01:30:06.123,114561.8,0.004,BTCUSDT
2025-09-30 01:30:06.123,114561.8,0.002,BTCUSDT
2025-09-30 01:30:06.123,114561.8,0.001,BTCUSDT
2025-09-30 01:30:06.123,114561.7,0.002,BTCUSDT
2025-09-30 01:30:06.123,114561.6,0.002,BTCUSDT
2025-09-30 01:30:06.123,114561.1,0.002,BTCUSDT
2025-09-30 01:30:06.123,114561.0,0.002,BTCUSDT
2025-09-30 01:30:06.123,114561.0,0.001,BTCUSDT
2025-09-30 01:30:06.123,114560.7,0.018,BTCUSDT
2025-09-30 01:30:06.123,114560.6,0.002,BTCUSDT
2025-09-30 01:30:06.123,114560.5,0.002,BTCUSDT
2025-09-30 01:30:06.123,114560.4,0.001,BTCUSDT
2025-09-30 01:30:06.123,114560.4,0.002,BTCUSDT
2025-09-30 01:30:06.123,114560.4,0.002,BTCUSDT
2025-09-30 01:30:06.123,114560.0,0.001,BTCUSDT
